TABLE_ID,TABLE_CATALOG,CREATED,TABLE_NAME,TABLE_SCHEMA,TABLE_OWNER,TABLE_TYPE,IS_TRANSIENT,CLUSTERING_KEY,ROW_COUNT,BYTES,RETENTION_TIME,LAST_ALTERED,AUTO_CLUSTERING_ON,COMMENT,COLUMN_COUNT
50184,PROD,2022-06-16T00:11:10.029-07:00,CREDIT_TRENDS,RAW,SYSADMIN,BASE TABLE,NO,,53,4096,1,2022-06-16T00:11:10.849-07:00,NO,,8
87043,DEV,2023-01-23T01:48:37-08:00,SPATIAL_DATA,STATIC,DEV,BASE TABLE,NO,,2112,679936,1,2023-01-23T01:48:40.134-08:00,NO,,2
6160,STAGE,2022-01-21T03:12:02.121-08:00,WEIGHT_BIRTHYEAR,REFINED,ANALYST,BASE TABLE,NO,,65,2560,1,2022-01-21T03:12:09.223-08:00,NO,,3
7182,STAGE,2022-01-21T03:12:05.739-08:00,WEIGHT_HOD,REFINED,ANALYST,BASE TABLE,NO,,168,3584,1,2022-01-21T03:12:18.227-08:00,NO,,4
7174,STAGE,2022-01-21T03:12:02.499-08:00,WEIGHT_GENDER,REFINED,ANALYST,BASE TABLE,NO,,3,1536,1,2022-01-21T03:12:11.096-08:00,NO,,3
6164,STAGE,2022-01-21T03:12:05.094-08:00,WEIGHT_DOW,REFINED,ANALYST,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:17.1-08:00,NO,,3
6162,STAGE,2022-01-21T03:12:04.071-08:00,WEIGHT_ROUTE,REFINED,ANALYST,BASE TABLE,NO,,200,6144,1,2022-01-21T03:12:14.61-08:00,NO,,5
87041,DEV,2023-01-23T01:48:37.336-08:00,TRIPS,DEMO,ANALYST,BASE TABLE,NO,,6210016,200996864,1,2023-01-23T01:48:37.494-08:00,NO,,3
7186,STAGE,2022-01-21T03:12:21.552-08:00,TRIPS_FULL,REFINED,ANALYST,BASE TABLE,YES,,49836757,2594766848,1,2022-01-21T03:12:35.771-08:00,NO,,18
59394,PROD,2022-08-02T05:00:36.094-07:00,LOAN_FACT,RAW,ACCOUNTADMIN,BASE TABLE,NO,,215000,6774784,1,2023-01-25T00:39:58.986-08:00,NO,,29
7184,STAGE,2022-01-21T03:12:06.222-08:00,RIDERS,REFINED,ANALYST,BASE TABLE,NO,,100000,6100992,1,2022-01-21T03:12:20.605-08:00,NO,,11
7180,STAGE,2022-01-21T03:12:04.59-08:00,WEIGHT_WK,REFINED,ANALYST,BASE TABLE,NO,,519,11776,1,2022-01-21T03:12:15.628-08:00,NO,,3
57350,PROD,2022-08-01T23:04:17.661-07:00,ANALYST_TO_LOAN_TYPE_MAP,ANALYTICS,DATA_ENGINEER,BASE TABLE,NO,,2,1536,1,2022-08-01T23:04:24.661-07:00,NO,,2
52228,PROD,2022-06-16T00:11:02.888-07:00,LOAN_ACCOUNT_DIM,RAW,SYSADMIN,BASE TABLE,NO,,100000,3018752,1,2022-06-16T00:11:06.17-07:00,NO,,33
84994,PILOT,2023-01-23T01:11:05.508-08:00,TRIPS,DEMO,ANALYST,BASE TABLE,NO,,40721893,1328151552,1,2023-01-24T02:33:54.806-08:00,NO,,3
74761,PILOT,2022-11-29T02:15:02.154-08:00,SPATIAL_DATA,STATIC,DEV,BASE TABLE,NO,,2112,679936,1,2022-11-29T02:15:07.097-08:00,NO,,2
90116,PILOT,2023-02-22T09:58:25.207-08:00,T1,PUBLIC,ACCOUNTADMIN,BASE TABLE,NO,,2,1024,1,2023-02-22T10:46:44.167-08:00,NO,,1
89090,PROD,2023-01-25T00:40:17.044-08:00,LOAN_FACT_CL,RAW,ACCOUNTADMIN,BASE TABLE,NO,,215000,6774784,1,2023-01-25T00:40:17.689-08:00,NO,,29
51204,PROD,2022-06-16T00:11:08.493-07:00,TERRITORY_DIM,RAW,SYSADMIN,BASE TABLE,NO,,53,1536,1,2022-06-16T00:11:09.669-07:00,NO,,2
7176,STAGE,2022-01-21T03:12:03.06-08:00,WEIGHT_PAYMENT,REFINED,ANALYST,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:12.47-08:00,NO,,3
7178,STAGE,2022-01-21T03:12:03.561-08:00,WEIGHT_MEMBERSHIP,REFINED,ANALYST,BASE TABLE,NO,,7,1536,1,2022-01-21T03:12:13.529-08:00,NO,,3
90120,PILOT,2023-02-22T10:46:35.095-08:00,T2,PUBLIC,ACCOUNTADMIN,BASE TABLE,NO,,2,1024,1,2023-02-22T10:46:36.042-08:00,NO,,1
65538,PROD,2022-10-09T22:56:41.785-07:00,ACCOUNT_DETAIL_V,ANALYTICS,DATA_ENGINEER,VIEW,NO,,0,0,,2022-10-09T22:56:42.074-07:00,NO,,6
50186,PROD,2022-06-16T00:11:12.919-07:00,LOAN_MARKETSHARE_BI_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-06-16T00:11:13.327-07:00,NO,,16
87044,DEV,2023-01-23T01:48:37.336-08:00,TABLEAU_QUERY_HISTORY,STATIC,ANALYST,VIEW,NO,,0,0,,2023-01-23T01:48:40.645-08:00,NO,,42
52234,PROD,2022-06-16T00:11:12.24-07:00,LOAN_BY_ZIPCODE_DAILY_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-06-16T00:11:12.638-07:00,NO,,16
88066,PILOT,2023-01-24T02:33:56.462-08:00,TRIPS_VW,DEMO,ANALYST,VIEW,NO,,0,0,,2023-01-24T02:33:56.847-08:00,NO,,16
52230,PROD,2022-06-16T00:11:11.176-07:00,LOAN_DETAIL_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-06-16T00:11:11.449-07:00,NO,,38
87042,DEV,2023-01-23T01:48:37.336-08:00,TRIPS_VW,DEMO,ANALYST,VIEW,NO,,0,0,,2023-01-23T01:48:38.732-08:00,NO,,16
50188,PROD,2022-06-16T00:11:13.601-07:00,LOAN_MARKETSHARE_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-06-16T00:11:13.857-07:00,NO,,16
52232,PROD,2022-06-16T00:11:11.763-07:00,LOAN_BY_ZIPCODE_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-06-16T00:11:11.962-07:00,NO,,8
52236,PROD,2022-06-16T00:11:14.182-07:00,LOAN_DETAIL_V,ANALYTICS,SYSADMIN,VIEW,NO,,0,0,,2022-10-09T22:57:16.686-07:00,NO,,38
74762,PILOT,2022-11-29T02:15:02.154-08:00,TABLEAU_QUERY_HISTORY,STATIC,ANALYST,VIEW,NO,,0,0,,2022-11-29T02:15:07.647-08:00,NO,,42
7188,STAGE,2022-01-21T03:12:37.863-08:00,TRIPS,REFINED,ANALYST,VIEW,NO,,0,0,,2022-01-21T03:12:38.072-08:00,NO,,18